formation,collapse,Society_Polity,NaturalGeoArea,quasi_polity,age
1748,1826,AfDurrn,Kachi Plain,FALSE,78
1193,1206,AfGhurd,Kachi Plain,FALSE,13
-248,-130,AfGrBct,Sogdiana,FALSE,118
426,563,AfHepht,Sogdiana,FALSE,137
496,531,AfHepht,Kachi Plain,FALSE,35
30,230,AfKushn,Sogdiana,FALSE,200
30,250,AfKushn,Kachi Plain,FALSE,220
35,319,AfKushn,Middle Ganga,FALSE,284
-129,29,AfTochr,Sogdiana,TRUE,158
25,219,CnEHan*,Middle Yellow River Valley,FALSE,194
265,317,CnErJin,Middle Yellow River Valley,FALSE,52
-1650,-1251,CnErlig,Middle Yellow River Valley,TRUE,399
-1850,-1651,CnErlit,Middle Yellow River Valley,TRUE,199
1896,1941,CnHChin,Southern China Hills,FALSE,45
1701,1895,CnHQngL,Southern China Hills,TRUE,194
-338,-207,CnImQin,Middle Yellow River Valley,FALSE,131
-794,-489,CnJinSA,Middle Yellow River Valley,FALSE,305
-3000,-1900,CnLngsh,Middle Yellow River Valley,TRUE,1100
1127,1234,CnLrJin,Middle Yellow River Valley,FALSE,107
1368,1643,CnMing*,Middle Yellow River Valley,FALSE,275
960,1126,CnNSong,Middle Yellow River Valley,FALSE,166
386,557,CnNWei*,Middle Yellow River Valley,FALSE,171
1644,1795,CnQingE,Middle Yellow River Valley,FALSE,151
1796,1912,CnQingL,Middle Yellow River Valley,FALSE,116
1796,1912,CnQingL,Orkhon Valley,FALSE,116
-1250,-1123,CnShang,Middle Yellow River Valley,FALSE,127
581,617,CnSui**,Middle Yellow River Valley,FALSE,36
618,762,CnTangE,Middle Yellow River Valley,FALSE,144
763,907,CnTangL,Middle Yellow River Valley,FALSE,144
-202,9,CnWHan*,Middle Yellow River Valley,FALSE,211
-1122,-795,CnWZhou,Middle Yellow River Valley,FALSE,327
-488,-223,CnWeiWS,Middle Yellow River Valley,FALSE,265
-5000,-3001,CnYngsh,Middle Yellow River Valley,TRUE,1999
1271,1367,CnYuan*,Middle Yellow River Valley,FALSE,96
1271,1367,CnYuan*,Orkhon Valley,FALSE,96
250,1049,CoNahua,North Colombia,TRUE,799
1050,1524,CoTairo,North Colombia,TRUE,474
1534,1830,EcJivaE,Lowland Andes,TRUE,296
1831,1931,EcJivaL,Lowland Andes,TRUE,100
1171,1259,EgAyyub,Upper Egypt,FALSE,88
-4400,-3801,EgBadar,Upper Egypt,FALSE,599
-3100,-2901,EgDyn1*,Upper Egypt,FALSE,199
-2900,-2651,EgDyn2*,Upper Egypt,FALSE,249
-404,-343,EgIntOc,Upper Egypt,FALSE,61
1260,1347,EgMamBh,Upper Egypt,FALSE,87
1412,1516,EgMamBu,Upper Egypt,FALSE,104
1348,1411,EgMamCP,Upper Egypt,FALSE,63
-2016,-1721,EgMidKg,Upper Egypt,FALSE,295
-1293,-1071,EgNKRam,Upper Egypt,FALSE,222
-1550,-1294,EgNKThu,Upper Egypt,FALSE,256
-3800,-3551,EgNaqa1,Upper Egypt,FALSE,249
-3550,-3301,EgNaqa2,Upper Egypt,FALSE,249
-3300,-3101,EgNaqa3,Upper Egypt,TRUE,199
-2650,-2351,EgOldK1,Upper Egypt,FALSE,299
-2350,-2151,EgOldK2,Upper Egypt,FALSE,199
-300,-199,EgPtol1,Galilee,FALSE,101
-305,-218,EgPtol1,Upper Egypt,FALSE,87
-217,-32,EgPtol2,Upper Egypt,FALSE,185
-2150,-2017,EgRegns,Upper Egypt,FALSE,133
-655,-526,EgSaite,Upper Egypt,FALSE,129
-1720,-1567,EgThebH,Upper Egypt,TRUE,153
-1070,-761,EgThebL,Upper Egypt,TRUE,309
868,969,EgTulIk,Upper Egypt,FALSE,101
1516,1808,EsHabsb,Valley of Oaxaca,FALSE,292
1532,1700,EsHabsb,Cuzco,FALSE,168
1775,1885,FmTrukE,Chuuk Islands,TRUE,110
1886,1948,FmTrukL,Chuuk Islands,FALSE,62
-2200,-1001,FrAtlBA,Paris Basin,TRUE,1199
-3200,-2201,FrBeakr,Paris Basin,TRUE,999
1589,1659,FrBurbE,Paris Basin,FALSE,70
1660,1788,FrBurbL,Paris Basin,FALSE,128
987,1149,FrCaptE,Paris Basin,FALSE,162
1150,1327,FrCaptL,Paris Basin,FALSE,177
752,839,FrCarlE,Paris Basin,FALSE,87
840,986,FrCarlL,Paris Basin,FALSE,146
-1000,-901,FrHallA,Paris Basin,FALSE,99
-900,-701,FrHallB,Paris Basin,FALSE,199
-700,-601,FrHallC,Paris Basin,FALSE,99
-600,-475,FrHallD,Paris Basin,FALSE,125
481,542,FrMervE,Paris Basin,TRUE,61
687,750,FrMervL,Paris Basin,FALSE,63
543,686,FrMervM,Paris Basin,TRUE,143
-474,-325,FrTeneA,Paris Basin,FALSE,149
-324,-175,FrTeneB,Paris Basin,FALSE,149
-174,-27,FrTeneC,Paris Basin,FALSE,147
1328,1449,FrValoE,Paris Basin,FALSE,121
