Society_Polity,State_Formation_low,State_Formation_high,formation,Adulthood_Date,Peak_Power,Collapse_low,Collapse_high,collapse,Approx_age,age,Political_Type,Political_Sub_Type,Region,Capital,Source,Proximate_Cause,Underlying_Cause,Collapse_Tra,Notes,Relatationship,Capital_1,lat1,continent,lon1,Capital_2,lat2,lon2,Capital_3,lat3,lon3,violience_attractor,censored
Egyptian Dynasties I and II,-3100,,-3100,,,-2687,,-2687,413-413 years,413,Kingdom,unknown,Northern Africa,Memphis,Seshat (2020),Civiil war and disorder.,,,"Combination of Dyasty I and II. Dynasty 0 excluded as it was a loose, nomial state.",,Mempphis,29.84472222,Africa,31.25083333,,,,,,,,FALSE
Old Egytpian Kingdom,-2650,-2592,-2621,-2800,-2400,-2160,-2150,-2155,432-500 years,466,Empire,unknown,Northern Africa,Memphis,"Taagepera (1978) for beginning and peak, Shaw, I (2000) for end. Seshat (2020) for late state end. Barta (2016) for late state formation date.",,,,,,Memphis,29.84472222,Africa,31.25083333,,,,,,,,FALSE
The Akkadian Empire (Sumer),-2334,,-2334,-2310,,-2154,-2142,-2148,180-192 years,186,Empire,unknown,Western Asia,"Kish, Akkad","Ven De Mieroop, M (2007), peak from Taagepera (1978), Seshat (2020). Notes on minor collapse Schrakamp (2016)",Invasion of Gutians.,Climate change.,,"Minor collapse and fragmentation in 2193-2189 between the dynasties of Sharkalisharri and Dudu. End of Shakalisharri see an end of the Sargonic dialect of Akkadian as a written language and many traditional city states independent (Assur, Uruk etc.). Schrakamp (2016) argues these defections reduced Akkade to a ""Petty state"".",,"Akkad (precise location unknown, between Baghdad and Samaara on the Euphrates)",,Asia,,Kish,32.54027778,44.60472222,,,,,FALSE
Ur III Dynasty (Neo-Sumerian Empire),-2112,,-2112,,,-2004,,-2004,108-108 years,108,Empire,unknown,Western Asia,Ur,"Ven De Mieroop, M (2007), peak from Taagepera (1978), Seshat (2020), dates verified and notes on empire categorisation from Garfinkle (2016)",Elamite rebellion.,,,"Garfinkle (2016) argues that Neo-Sumerian ""Empire"" was not in fact an empire - did not have territorial ambitions or control outside of the Tigris and Euphrates valleys",,Ur,30.96305556,Asia,46.10305556,,,,,,,,FALSE
Xia Dynasty,-2070,-1850,-1960,,-1800,-1651,-1600,-1625.5,199-470 years,334.5,Empire,unknown,Eastern Asia,Zhenxun (modern Gongyi) and Yangcheng (modern Gaocheng),"Peak from Taagepera (1978), start and end from Li (2002), late end and start dates from Seshat (2020).",,,,,,Zhenxun,34.75371944,Asia,113.0251306,Yangcheng (modern Gaocheng),34.4006,113.1503,,,,,FALSE
Middle Egyptian Kingdom,-2055,-2016,-2035.5,-2000,-1850,-1700,-1650,-1675,316-405 years,360.5,Empire,unknown,Northern Africa,"Thebes, Itjtawy","Taagepera (1978) for peak and  Shaw, I (2000) for beginning and end. Seshat (2020) for low state formation and high state end.","Hyskos conquest (Taagepera, 1978)",,,,,Thebes,25.72055556,Africa,32.61027778,Itjtawy,29.570278,31.231111,,,,,FALSE
Babylonian Empire,-2000,-1800,-1900,-1700,-1690,-1595,,-1595,205-405 years,305,Empire,unknown,Western Asia,Babylon,"Taagepera (1978), Doumanis (2016).",Hittite Conquest.,,,Adulthood date under Hammurabi.,,Babylon,32.53638889,Asia,44.42083333,,,,,,,,FALSE
Hittites,-2000,-1650,-1825,-1320,-1250,-1190,,-1190,460-810 years,635,Empire,unknown,Western Asia,Hattusa,"Taagepera (1978), Middleton (2017), Cline (2014), Seshat (2020), early formation date from Giusfredi (2016).",Attacked by the sea-peoples. Collapse into numerous independent  Neo-hittite city states.,"Revolt, climate change, succession problems, plague, revolt by vassals, attack by the sea peoples",,Full loss of territory due to Assyrian invasion in 710 B . This could be used as an alternative end date. Early formation date: Reference to the land of Hattu in old Assyrian documents from the 20-19th century BC acts as a terminus post quem,,Hattusa,40.01972222,Asia,34.61527778,,,,,,,,FALSE
Old Assyrian,-1850,,-1850,-1800,-1730,-1765,-1700,-1732.5,85-150 years,117.5,Empire,unknown,Western Asia,"Assur, Shubat-Enlil,
Assur","Taagepera (1978), Chavalas (2016) for collapse low range",Babylonian and then Mitanni control.,,,,,Assur,35.45666667,Asia,43.2625,Shubat-Enlil,36.95812222,41.50448889,,,,,FALSE
Mitanni,-1700,-1540,-1620,-1500,-1450,-1360,-1100,-1230,180-600 years,390,Empire,unknown,Western Asia,Washukanni,Taagepera (1978). Late start date and notes on state/empire from McMahon (2016).,Assyrian conquest.,,,"Hittite destruction and major loss of territory in 1360 B . Late start date (1540BCE) from text documents. Lack of political ideology, heavy-touch royal control and little evidence for economic centralisation go against labelling the Mitanni as an empire (McMahon 2016).",,"Washukanni (unknown, potentially Tell Fekheriye in modern day Syria. This is highly contested).",36.84,Asia,40.068611,,,,,,,,FALSE
